"Date","Price","Open","High","Low","Change %"
"Feb 11","0.520","0.653","0.703","0.506","-20.49%"
"Jan 11","0.654","0.293","0.675","0.247","125.52%"
"Dec 10","0.290","0.429","0.488","0.233","-31.44%"
"Nov 10","0.423","0.587","0.675","0.423","-33.39%"
"Oct 10","0.635","0.518","0.645","0.394","25.99%"
"Sep 10","0.504","0.281","0.510","0.263","93.10%"
"Aug 10","0.261","0.278","0.350","0.224","-6.45%"
"Jul 10","0.279","0.220","0.412","0.162","-3.12%"
"Jun 10","0.288","0.198","0.288","0.158","46.94%"
"May 10","0.196","0.242","0.245","0.121","-19.34%"
"Apr 10","0.243","0.324","0.329","0.132","-25.23%"
"Mar 10","0.325","0.237","0.330","0.226","36.55%"
"Feb 10","0.238","0.284","0.302","0.235","-13.14%"
"Jan 10","0.274","0.324","0.324","0.251","-14.38%"
"Dec 09","0.320","0.398","0.405","0.226","-18.58%"
"Nov 09","0.393","0.340","0.437","0.329","13.91%"
"Oct 09","0.345","0.371","0.406","0.315","-2.82%"
"Sep 09","0.355","0.384","0.390","0.299","-7.55%"
"Aug 09","0.384","0.308","0.399","0.303","20.00%"
"Jul 09","0.320","0.587","0.587","0.315","-57.95%"
"Jun 09","0.761","0.751","0.854","0.563","5.55%"
"May 09","0.721","0.686","0.794","0.582","4.95%"
"Apr 09","0.687","0.591","0.856","0.543","19.06%"
"Mar 09","0.577","0.818","0.892","0.493","-29.81%"
"Feb 09","0.822","1.382","1.382","0.756","-40.17%"
"Jan 09","1.374","1.677","1.711","1.104","-20.85%"
"Dec 08","1.736","2.151","2.243","1.153","-19.82%"
"Nov 08","2.165","2.395","2.481","1.829","-9.90%"
"Oct 08","2.403","3.276","3.845","1.962","-26.04%"
"Sep 08","3.249","4.331","4.464","3.142","-25.00%"
"Aug 08","4.332","4.289","4.459","4.266","1.10%"
"Jul 08","4.285","4.271","4.427","4.224","1.20%"
"Jun 08","4.234","3.928","4.431","3.928","7.76%"
"May 08","3.929","4.074","4.200","3.911","-4.03%"
"Apr 08","4.094","3.989","4.103","3.975","2.76%"
"Mar 08","3.984","3.856","4.036","3.469","3.40%"
"Feb 08","3.853","3.944","3.959","3.835","-2.06%"
"Jan 08","3.934","3.829","4.265","3.821","3.77%"
"Dec 07","3.791","3.996","4.200","3.685","-4.24%"
"Nov 07","3.959","3.950","4.125","3.847","-1.81%"
"Oct 07","4.032","3.900","4.117","3.452","3.89%"
"Sep 07","3.881","3.969","4.425","3.564","-0.84%"
"Aug 07","3.914","3.914","3.914","3.914","-4.30%"
"Jul 07","4.090","4.090","4.090","4.090","1.16%"
"Jun 07","4.043","4.043","4.043","4.043","-2.08%"
"May 07","4.129","4.129","4.129","4.129","6.47%"
"Apr 07","3.878","3.878","3.878","3.878","1.76%"
"Mar 07","3.811","3.811","3.811","3.811","3.67%"
